ts,price,event,reason,zone_ts,zone_px,zone_dir,zone_dist,conf_tol,m15_atr,session_mult,h4_score,h1_score,ltf_score,regime,regime_mult,total_score,confidence_mult,risk_amt,qty,entry_exec
2026-07-21 03:30:00,28707.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.011243427929812914,0.0025,,,,,,,,,,,,
2026-07-21 03:35:00,28710.02,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.011153532859059274,0.0025,,,,,,,,,,,,
2026-07-21 03:40:00,28714.02,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.011015762635682078,0.0025,,,,,,,,,,,,
2026-07-21 03:45:00,28736.16,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.01025320444928932,0.0025,,,,,,,,,,,,
2026-07-21 03:50:00,28729.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.010468470423316188,0.0025,,,,,,,,,,,,
2026-07-21 03:55:00,28705.52,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.01130852436035862,0.0025,,,,,,,,,,,,
2026-07-21 04:00:00,28724.52,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.01065411579931694,0.0025,,,,,,,,,,,,
2026-07-21 04:05:00,28746.52,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.009896379570742362,0.0025,,,,,,,,,,,,
2026-07-21 04:10:00,28751.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.009719344833702685,0.0025,,,,,,,,,,,,
2026-07-21 04:15:00,28745.77,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.009922211487625586,0.0025,,,,,,,,,,,,
2026-07-21 04:20:00,28738.27,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.01018053065645783,0.0025,,,,,,,,,,,,
2026-07-21 04:25:00,28738.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.010158487420717496,0.0025,,,,,,,,,,,,
2026-07-21 04:30:00,28760.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.009417972470065069,0.0025,,,,,,,,,,,,
2026-07-21 04:35:00,28737.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.010210151254483945,0.0025,,,,,,,,,,,,
2026-07-21 04:40:00,28722.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.01072678959214843,0.0025,,,,,,,,,,,,
2026-07-21 04:45:00,28750.77,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.009749998708404092,0.0025,,,,,,,,,,,,
2026-07-21 04:50:00,28745.02,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.00994804340450881,0.0025,,,,,,,,,,,,
2026-07-21 04:55:00,28731.16,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.010425417228510814,0.0025,,,,,,,,,,,,
2026-07-21 05:00:00,28756.52,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.009551954012299371,0.0025,,,,,,,,,,,,
2026-07-21 05:05:00,28743.77,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.009991096599314185,0.0025,,,,,,,,,,,,
2026-07-21 05:10:00,28733.02,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.010361354074640398,0.0025,,,,,,,,,,,,
2026-07-21 05:15:00,28711.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.011105657706435719,0.0025,,,,,,,,,,,,
2026-07-21 05:20:00,28760.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.009409361831103994,0.0025,,,,,,,,,,,,
2026-07-21 05:25:00,28741.52,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.010068592349963856,0.0025,,,,,,,,,,,,
2026-07-21 05:30:00,28769.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.009099378828505304,0.0025,,,,,,,,,,,,
2026-07-21 05:35:00,28792.77,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.008303411362943533,0.0025,,,,,,,,,,,,
2026-07-21 05:40:00,28796.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.00816942982070923,0.0025,,,,,,,,,,,,
2026-07-21 05:45:00,28783.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.008608572407724042,0.0025,,,,,,,,,,,,
2026-07-21 05:50:00,28784.27,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.008596173087620075,0.0025,,,,,,,,,,,,
2026-07-21 05:55:00,28802.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.007971385124604512,0.0025,,,,,,,,,,,,
2026-07-21 06:00:00,28815.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.007506410620706476,0.0025,,,,,,,,,,,,
2026-07-21 06:05:00,28814.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.007540853176550774,0.0025,,,,,,,,,,,,
2026-07-21 06:10:00,28822.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0072653127297963825,0.0025,,,,,,,,,,,,
2026-07-21 06:15:00,28838.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0067314531142097485,0.0025,,,,,,,,,,,,
2026-07-21 06:20:00,28839.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.006688399919404375,0.0025,,,,,,,,,,,,
2026-07-21 06:25:00,28843.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.006550629696027178,0.0025,,,,,,,,,,,,
2026-07-21 06:30:00,28862.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.005904831773946573,0.0025,,,,,,,,,,,,
2026-07-21 06:35:00,28886.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.005060989155761248,0.0025,,,,,,,,,,,,
2026-07-21 06:40:00,28881.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.005241812573943817,0.0025,,,,,,,,,,,,
2026-07-21 06:45:00,28915.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004062155036276577,0.0025,,,,,,,,,,,,
2026-07-21 06:50:00,28922.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0038296677843275588,0.0025,,,,,,,,,,,,
2026-07-21 06:55:00,28920.16,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.003915774173938306,0.0025,,,,,,,,,,,,
2026-07-21 07:00:00,28909.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0042688103713423705,0.0025,,,,,,,,,,,,
2026-07-21 07:05:00,28916.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004027712480432278,0.0025,,,,,,,,,,,,
2026-07-21 07:10:00,28914.27,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004118640827861207,0.0025,,,,,,,,,,,,
2026-07-21 07:15:00,28908.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004320474205108819,0.0025,,,,,,,,,,,,
2026-07-21 07:20:00,28910.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004242978454459147,0.0025,,,,,,,,,,,,
2026-07-21 07:25:00,28912.77,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004170304661627656,0.0025,,,,,,,,,,,,
2026-07-21 07:30:00,28908.02,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004333906801888076,0.0025,,,,,,,,,,,,
2026-07-21 07:35:00,28918.52,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0039722599655229365,0.0025,,,,,,,,,,,,
2026-07-21 07:40:00,28912.02,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.00419613657851088,0.0025,,,,,,,,,,,,
2026-07-21 07:45:00,28920.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0038985528960161567,0.0025,,,,,,,,,,,,
2026-07-21 07:50:00,28901.91,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004544350818096763,0.0025,,,,,,,,,,,,
2026-07-21 07:55:00,28903.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004492686984330314,0.0025,,,,,,,,,,,,
2026-07-21 08:00:00,28904.27,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004463066386304197,0.0025,,,,,,,,,,,,
2026-07-21 08:05:00,28899.52,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004626668526564617,0.0025,,,,,,,,,,,,
2026-07-21 08:05:00,28899.52,zone_skip,tolerance,2026-07-21 08:00:00,28550.77,long,0.01221508211512334,0.0025,,,,,,,,,,,,
2026-07-21 08:10:00,28883.16,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0051901487401773685,0.0025,,,,,,,,,,,,
2026-07-21 08:10:00,28883.16,zone_skip,tolerance,2026-07-21 08:00:00,28550.77,long,0.011642067797120688,0.0025,,,,,,,,,,,,
2026-07-21 08:15:00,28866.66,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.005758450911608302,0.0025,,,,,,,,,,,,
2026-07-21 08:15:00,28866.66,zone_skip,tolerance,2026-07-21 08:00:00,28550.77,long,0.011064149933609475,0.0025,,,,,,,,,,,,
2026-07-21 08:20:00,28891.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.004905997654461902,0.0025,,,,,,,,,,,,
2026-07-21 08:20:00,28891.41,zone_skip,tolerance,2026-07-21 08:00:00,28550.77,long,0.011931026728876293,0.0025,,,,,,,,,,,,
2026-07-21 08:25:00,28914.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.0041138188700430255,0.0025,,,,,,,,,,,,
